titulo,capitulo,articulo,texto,tokens
 SEGUNDO , I ,25,"El permiso podrá ser renovado y expedido nuevamente por períodos iguales al que se expidió originalmente, siempre y cuando compruebe no haber incurrido en alguna infracción por negligencia o imprudencia, hasta en tanto el interesado esté en condiciones de que se le expida la licencia respectiva.",72
 SEGUNDO , I ,26,"Para conducir vehículos de tracción animal, bicicletas, vehículos de tracción mecánica no automotriz y carro de mano, no se requiere licencia, pero no se permitirá que los manejen menores de 12 años. Tampoco se permitirá que menores de 18 años, manejen juegos o diversiones mecánicas accionadas por motores eléctricos o de combustión interna en ferias y estacionamientos destinados al público.",106
 SEGUNDO , I ,27,"Toda persona que haya obtenido licencia o permiso de manejo podrá hacer uso de el durante su vigencia, siempre que conserve las cualidades físicas y mentales necesarias para conducir vehículos de motor.",47
 SEGUNDO , I ,28,"A toda persona que padezca una incapacidad física para la conducción normal de vehículos de motor, se le podrá expedir licencia, cuando cuente con anteojos, prótesis u otros aparatos y el vehículo que pretende conducir esté provisto de mecanismos y otros medios auxiliares que previa demostración, le capaciten para conducir y satisfaga además los requisitos señalados por los artículos 19, 20 y 22 de esta Ley. 6",113
 SEGUNDO , I ,29,A ninguna persona se le expedirá o reexpedirá una licencia cuando se encuentre en los siguientes casos: I,25
 SEGUNDO , I ,30,"Las licencias a que se refiere el Artículo 18 de esta Ley, serán expedidas por la Tesorería General del Estado, en las formas oficiales impresas para el efecto y tendrán la vigencia que en las mismas se establezcan y contendrán: I",63
 SEGUNDO , I ,31,"Los conductores y operadores de vehículos, deberán portar sus respectivas licencias al momento de conducir un vehículo o al tenerlo bajo su cuidado y responsabilidad en caso de estar estacionado en la vía pública. Las personas que contraten los servicios de un chofer u operador de servicio público, así como los que permitan a otro que conduzca su vehículo, deberán cerciorarse de que tienen en regla su licencia de manejar, bajo responsabilidad ante las autoridades de tránsito correspondientes, del pago de las multas que se les impongan por las infracciones en que incurran.",139
 SEGUNDO , I ,32,"Las licencias para conducir expedidas por las autoridades de otros estados o de otros países, tendrá la misma validez que las expedidas conforme a esta Ley para conducir 7 vehículos, siempre y cuando aparezca que se encuentran en vigor y que sus tenedores no establezcan domicilio en el Estado.",69
 SEGUNDO , I ,33,"Los extranjeros que soliciten la expedición de una licencia de las señaladas en el Artículo 18, Fracción I, además de llenar los requisitos exigidos según el caso, deberán comprobar satisfactoriamente su legal estancia en el país.",60
 SEGUNDO , II,34,"Las licencias de conducir que hubiere expedido la Tesorería General del Estado, conforme a lo establecido en esta Ley, podrán recogerse, suspenderse o cancelarse en los siguientes casos: I",46
 SEGUNDO , II,35,"Al recibirse en la Tesorería General del Estado, el oficio que comunica la Resolución Judicial que ordena la suspensión de la licencia, aquella la boletinará a sus dependencias receptoras y a las autoridades municipales de tránsito, para que procedan de inmediato a ejecutar la resolución respectiva.",77
 SEGUNDO , II,36,"Los departamentos de tránsito municipales al tener conocimiento de las causales de cancelación de licencias, lo notificarán al Ayuntamiento respectivo, remitiéndole las infracciones cometidas y actas levantadas. Inmediatamente después, el Ayuntamiento, notificará al titular de las licencias, a fin de que dentro del término de quince días hábiles, manifieste lo que a su derecho convenga, formulando su defensa. Vencido el término señalado en el párrafo anterior, el Ayuntamiento resolverá en definitiva y lo notificará dentro de los cinco días hábiles siguientes al titular de la licencia. Contra esta resolución no procede recurso administrativo alguno. La sanción de cancelación de la licencia es independiente de las multas que por las infracciones que le dieron motivo, se hayan aplicado.",204
 SEGUNDO , II,37,"Cancelada una licencia, se hará del conocimiento de la Tesorería General del Estado, y se notificará al titular para que haga entrega de la licencia, dentro de los cinco días hábiles siguientes, procediendo a comunicar la cancelación a las autoridades de tránsito. 8 La cancelación de licencias de operadores de servicio público de transporte deberá comunicarse además a la Dirección de Transporte del Estado. En caso de que no se entregue la licencia, se hará del conocimiento del Ministerio Público denunciando la comisión del ilícito correspondiente, para los efectos legales conducentes.",144
 SEGUNDO , II,38,"Cuando se recoja una licencia en los términos del Artículo 34, Fracción III de esta Ley, deberá remitirse inmediatamente al Departamento de Tránsito respectivo para que le sea entregada al conductor una vez que haya liquidado la multa y se registre la infracción para su control y efectos estadísticos.",79
 SEGUNDO , II,39,"Salvo el término señalado en la resolución judicial respectiva, la Tesorería General del Estado, podrá volver a expedir nueva licencia a las personas a quienes se les haya cancelado conforme a esta Ley, siempre y cuando haya transcurrido cuando menos un año de la cancelación y hayan desaparecido las condiciones que originaron la misma. Al efecto, recabarán la información de la autoridad municipal de tránsito del domicilio del interesado.",104
 SEGUNDO , III ,*41,"Para circular en el Estado de Sonora, todo vehículo debe reunir los siguientes requisitos: I",21
 SEGUNDO , III ,*42,"La obtención de placas y tarjetas de circulación en los casos de vehículos nuevos o usados, deberá realizarse dentro de los quince días hábiles siguientes al de la fecha de 12 adquisición o del pedimento de importación definitivo a la zona fronteriza o al interior del País o de la baja de placas. Tratándose de vehículos provenientes de otras entidades federativas cuyos propietarios establezcan su domicilio en el Estado de Sonora, tienen de plazo para adquirirlas hasta el 31 de enero del año siguiente al de dicho cambio. El canje de placas se efectuará en el transcurso de los tres primeros meses del año de calendario que corresponda y tendrán una vigencia de tres años, contados a partir del último programa de canje que implemente el Gobierno. Las placas de circulación de los vehículos de propulsión mecánica deberán revalidarse anualmente, durante los tres primeros meses del año del calendario. Para efecto de los trámites a que se hace referencia en el presente artículo, el interesado deberá contar con licencia de conducir vigente del Estado y demás requisitos establecidos en las disposiciones administrativas de observancia general que expida el Ejecutivo Estatal, por conducto de la Secretaría de Hacienda.",304
 SEGUNDO , III ,43,"Cuando se trate de placas para vehículos de servicio público de transporte, además de observar los requisitos establecidos en el Artículo anterior, deberá acreditarse, en su caso: I",44
 SEGUNDO , III ,44,Los vehículos destinados al servicio público de transporte deberán satisfacer además las exigencias y requisitos que se señalan en la Ley de Transportes del Estado.,34
 SEGUNDO , III ,45,"Los vehículos oficiales deberán ostentar, en lugar visible de sus portezuelas, leyendas que identifiquen la dependencia pública a que pertenezcan. Los vehículos propiedad particular de los funcionarios y empleados públicos, no podrán ser considerados como oficiales.",64
 SEGUNDO , III ,46,"Los vehículos destinados exclusivamente a su venta al público y en tanto son vendidos, para poder circular en la vía pública, deberán portar placas de demostración, que para ese efecto proporcionará la Tesorería General del Estado. Para obtener las placas de demostración se estará a lo que dispongan al respecto las leyes fiscales correspondientes.",81
 SEGUNDO , III ,47,"Las placas y tarjetas de circulación son intransferibles entre particulares o empresas, salvo que exista cambio de propietario. Las placas permanecerán en el vehículo y únicamente se expedirá tarjeta de circulación cuando se enajene, previo el pago de los derechos correspondientes.",71
 SEGUNDO , III ,*48,"El cambio de propietario, de uso o de destino de los vehículos de 13 propulsión mecánica, deberá ser notificado a la Agencia Fiscal del Estado que corresponda al domicilio del propietario, dentro del término de quince días contados a partir de que se efectue la operación de que se trate, respecto de los vehículos de propulsión sin motor, la notificación a que se refiere este artículo, deberá hacerse dentro de igual término, a la Tesorería Municipal del domicilio del propietario. Asimismo, dentro del término de quince días, contados a partir de efectuada la baja correspondiente, deberá todo vehículo ser dado de alta, acompañando además de los requisitos especiales que se señalan, copia de la baja correspondiente. Tratándose de vehículos destinados a la prestación del servicio público de transporte, dentro del mismo término, deberán notificarlo a la Dirección de Transporte del Estado. Al ser dado de baja el vehículo, deberá acreditarse no tener adeudo por concepto de multas de tránsito, así como derechos que se generen por la explotación del servicio público de transporte, en su caso. La certificación respectiva se asentará en el espacio destinado para ello en las formas oficiales a que se refiere el primer párrafo de este artículo. Juntamente con el aviso de baja, deberá enterarse el impuesto que corresponda, así como devolverse el original de la tarjeta de circulación.",347
 SEGUNDO , III ,49,"En caso de extravío de una o ambas placas, deberá darse aviso de este hecho al Departamento de Tránsito Municipal, proporcionando todos los datos que se consideren convenientes y que sirvan para acreditar el extravío o para formalizar la averiguación penal que pudiese resultar. La copia del aviso, sellada de recibido por el Departamento de Tránsito Municipal, servirá de resguardo al interesado hasta por un término de treinta días, transcurrido el cual deberá dar de baja el número de placas y recabar un nuevo juego, previo el pago de los derechos de expedición.",145
 SEGUNDO , III ,*50,Las tarjetas de circulación contendrán los datos relativos a las características del vehículo y a los de identificación de su propietario.,33
 SEGUNDO , III ,*51,"En caso de extravío o destrucción de la tarjeta de circulación, deberá solicitarse su reposición ante la misma autoridad que la haya expedido, la que la otorgará previo al pago de los derechos que correspondan.",53
 SEGUNDO , III ,52,"Los vehículos procedentes del extranjero o de zonas libres fiscales, deberán ampararse además de sus placas y tarjeta de circulación de origen, con el permiso de las autoridades aduanales correspondientes, para que puedan circular por el Estado de Sonora.",65
 SEGUNDO , IV,*53,"Todo vehículo que transite por la vía pública deberá encontrarse en condiciones satisfactorias de funcionamiento y provisto de los dispositivos que exige la presente Ley y demás ordenamientos aplicables, salvo aquellos que se señalen como opcionales. Los propietarios o poseedores de vehículos de propulsión mecánica estarán obligados a presentarlos para su revisión ante la policía de tránsito del municipio que corresponda, durante los meses de enero y julio de cada año, o dentro de los treinta días siguientes a su adquisición, cuando esta se efectúe fuera de los meses señalados. Así también estarán obligados a presentar los vehículos para la verificación de emisiones 14 contaminantes en los centros que para ese efecto autorice la autoridad que corresponda, en los tiempos y formas que marque el reglamento respectivo, o dentro de los treinta días siguientes a su adquisición, cuando ésta se efectúe fuera de la fecha que le correspondiera. SECCIÓN II LUCES",240
 SEGUNDO , IV,54,Faros principales delanteros: a),9
 SEGUNDO , IV,55,"Los vehículos de bomberos, de policía y tránsito, ambulancias y otros de emergencia autorizados, así como los vehículos destinados al mantenimiento de los servicios urbanos y limpieza de la vía pública, deberán estar provistos de una lámpara cuyo giro sea de 360 grados y que proyecte una luz roja visible a una distancia no menor de 150 metros, bajo la luz solar. La lámpara deberá ir montada en la parte más alta del vehículo. Los vehículos oficiales de seguridad pública, además de la luz giratoria, podrán utilizar otras lámparas de color azul, combinadas con la anterior y que serán exclusivas de esta función. Estos dispositivos no deberán ser utilizados en ninguna otra clase de servicio.",177
 SEGUNDO , IV,56,Lámparas posteriores y reflectantes: a),12
 SEGUNDO , IV,57,"Lámparas direccionales: Todo vehículo automotor de 4 o más ruedas, deberá estar provisto de lámparas direccionales en el frente y en la parte posterior del vehículo o combinación de vehículos, que, mediante luces intermitentes, indiquen la intención de dar vuelta o cualquier otro movimiento para cambiar de dirección, alcanzar o adelantar otro vehículo. Tanto en el frente como en la parte posterior dichas lámparas deberán estar montadas simétricamente a un mismo nivel y separadas lateralmente tanto como sea posible. Las lámparas delanteras deberán emitir una luz blanca o ámbar y las posteriores color rojo o ámbar. Bajo la luz solar normal, estas luces deberán ser visibles desde una distancia no menor de 100 metros y podrán estar incorporadas o no a otras lámparas del vehículo.",197
 SEGUNDO , IV,58,"Equipo adicional de lámparas y reflectores obligatorios para determinados vehículos. Además del equipo que exigen los artículos anteriores, los vehículos que se mencionan a continuación, deberán estar equipados en la forma que aquí se especifica: a)",61
 SEGUNDO , IV,59,"Las lámparas delanteras de gálibo, las de identificación, las lámparas demarcadoras laterales y los reflectantes montados en el frente o a los lados cerca del frente de un vehículo, deberán emitir o reflectar un color ámbar. Todos los dispositivos de luces o reflectantes montados en la parte posterior de cualquier vehículo, deberán emitir o reflectar luces de color rojo, salvo la luz de alto u otro dispositivo indicador que puede ser de color rojo, ámbar o amarillo y salvo también la luz que ilumina la placa de circulación que deberá ser blanca y la luz que emita la lámpara indicadora de retroceso que será blanca o de color ámbar. Siempre que se haga transporte en combinación de vehículos de motor remolcando a otros, no habrá necesidad de llevar encendidas las luces que, debido a su emplazamiento, queden 17 obstruidas por otro vehículo de la combinación.",234
 SEGUNDO , IV,60,Equipo opcional de lámparas: a),11
 SEGUNDO , IV,61,Dispositivos acústicos y ópticos en vehículos de emergencia. a),20
 SEGUNDO , IV,62,"Equipo de lámparas en grúas y vehículos de servicio mecánico. Además del equipo establecido en el presente Capítulo en su parte relativa, las grúas y los vehículos de servicio mecánico, deberán estar provistos de una torreta con lámparas giratorias a 360 grados, que emitan una luz de color ámbar visible a una distancia no menor de 150 metros, montada en la parte más alta posible del vehículo sobre la línea de centro. Además podrán instalarse 2 lámparas montadas simétricamente lo más elevado y separadas posible de la línea del centro del vehículo, sin que sobresalgan de su carrocería, que emitan luz de color ámbar hacia adelante y hacia atrás, visibles a una distancia no menor de 150 metros. También deberán tener instalados cuando menos un faro buscador.",198
 SEGUNDO , IV,63,"Equipo de alumbrado en motocicletas: Toda motocicleta deberá estar provista del siguiente equipo de alumbrado, el cual deberá permanecer siempre encendido mientras esté en circulación. En la parte delantera, un faro principal de intensidad variable ""ALTA"" y ""BAJA"", colocado al centro del vehículo. En la parte posterior: Una o 2 lámparas que emitan luz roja. Una reflectante de color rojo, ya sea que forme parte de la lámpara posterior, o independientemente de la misma. Una lámpara indicadora de frenaje que emita luz roja o ámbar al aplicar los frenos de servicio, ya sea que forme parte de la lámpara posterior, o independientemente de la misma. Tanto en la parte delantera como en la posterior, deberán estar provistas de luces direccionales, de color ámbar en la delantera y roja en la posterior. Cuando la motocicleta sea de 3 ruedas el equipo de alumbrado de la parte posterior deberá ajustarse, en su parte relativa a lo establecido para vehículo de 4 o más ruedas.",267
 SEGUNDO , IV,64,"Equipo de alumbrado para bicicletas: Toda bicicleta deberá estar equipada con un faro delantero de una sola intensidad, que emita luz blanca, que permita ver a personas u objetos a una distancia no menor de 20 metros. Además en la parte trasera deberá llevar una lámpara que emita una luz roja, visible a una distancia no menor de 100 metros y cuando menos un reflectante de color rojo, visible por la noche desde cualquier vehículo que se encuentre a una distancia comprendida entre 30 y 100 metros, cuando la luz alta de los faros principales de dicho vehículo se proyecte directamente sobre ellos. 19",151
 SEGUNDO , IV,65,"Luces de vehículos estacionados: Todo vehículo deberá estar provisto cuando menos de 2 lámparas delanteras de estacionamiento de las llamadas cuartos, colocadas simétricamente y lo más alejado posible de la línea de centro del vehículo, montadas a una altura no menor de 35 centímetros ni mayor de 1.60 metros, que cuando enciendan emitan una luz blanca o ámbar visibles a una distancia de 300 metros. Dichas lámparas al ser accionadas, deberán encender simultáneamente con las lámparas rojas posteriores. SECCIÓN III FRENOS",146
 SEGUNDO , IV,66,"Todo vehículo automotor, remolque, semirremolque o combinación de estos vehículos, que transiten por la vía pública, deberán estar previstos de frenos que puedan ser fácilmente accionados por el conductor del vehículo automotor desde su asiento, los cuales deben conservarse en buen estado de funcionamiento, estar ajustados de modo que actúen uniformemente en todas las ruedas y que satisfagan los siguientes requisitos: a)",103
 SEGUNDO , IV,67,Motocicletas y bicicletas: a),13
 SEGUNDO , IV,68,"Bocinas y dispositivos de advertencia. Todo vehículo de motor deberá estar provisto de una bocina en buen estado de funcionamiento y capaz de emitir un sonido que, en circunstancias normales sea audible desde una distancia no menor de 60 metros. Pero ninguna bocina, ni ningún otro dispositivo de advertencia, emitirá ningún sonido o silbato que sea irrazonablemente fuerte o agudo. Está permitido, pero no es obligatorio, que cualquier vehículo esté provisto de un dispositivo 21 de alarma contra robos dispuesto de modo que el conductor no pueda utilizarlo como señal ordinaria de advertencia. Los vehículos considerados como de emergencia, además de la bocina a que alude este artículo, podrán estar provistos de una sirena capaz de emitir una señal acústica audible a una distancia de 60 metros o más. Queda prohibida la instalación y uso de sirenas en cualquier otra clase de vehículos.",224
 SEGUNDO , IV,69,"Los automóviles deberán estar provistos de cinturones de seguridad, cuando menos en los asientos delanteros. Los conductores con limitaciones físicas o parapléjicos deberán portar una señal especialmente visible, consistente en el símbolo de la silueta de la silla de ruedas blanca con fondo negro en su vehículo para identificación.",86
 SEGUNDO , IV,70,Dispositivos mejoradores del ambiente especialmente obligatorios en zonas urbanas y suburbanas: a),22
 SEGUNDO , IV,71,Espejos retrovisores: Todo vehículo automotor deberá estar provisto de los espejos retrovisores que se requieran conforme al tipo y servicio a que están destinados.,40
 SEGUNDO , IV,72,"Cristales: Los parabrisas tienen que estar libres de obstrucciones y provistos de limpiadores. Nadie conducirá ningún vehículo de motor que tenga puestos en el parabrisas delantero, las ventanillas laterales de aleta, ni en las ventanas laterales y posteriores del vehículo, algún rótulo, cartel u otro material opaco que obstruya la clara visión del conductor. El parabrisas de todo vehículo de motor deberá estar provisto de un dispositivo que limpie la lluvia, la nieve u otra humedad; dispositivo que deberá estar construido de modo que lo haga funcionar el conductor del vehículo, desde su interior. 22 Las sustancias transparentes que constituyen elementos de pared exterior del vehículo, incluido el parabrisas, o de pared interior de separación, deberán ser tales que, en caso de rotura el peligro de las lesiones corporales quede reducido en la mayor medida posible. Los cristales del parabrisas deberán estar hechos de una sustancia cuya transparencia no se altere y deberán estar fabricados de tal manera que no deformen apreciablemente los objetos vistos a través de ellos y que, en caso de rotura, el conductor pueda seguir viendo la vía con suficiente claridad.",299
 SEGUNDO , IV,73,Dispositivos de advertencia: a),9
 SEGUNDO , IV,74,Equipo de llantas: a),8
 SEGUNDO , V,75,"La circulación de los vehículos dentro de los perímetros urbanos, se regirá por las disposiciones de la presente Ley.",28
 SEGUNDO , V,76,"Todo usuario de las vías públicas está obligado a obedecer las reglas de la presente Ley. Las indicaciones de los dispositivos para el control del tránsito prevalecen sobre las reglas de circulación, excepto cuando estas estipulen claramente que prevalecen sobre las indicaciones de tales dispositivos. Las indicaciones del agente de tránsito prevalecen sobre las de los dispositivos para el control de tránsito y sobre las demás reglas de circulación.",112
 SEGUNDO , V,77,"Para la realización de eventos deportivos y tránsito de caravanas de vehículos o peatones, deberá obtenerse autorización del jefe de tránsito correspondiente, con un mínimo de tres días de anticipación al evento de que se trate.",59
 SEGUNDO , V,78,"Queda prohibido a los conductores de vehículos entorpecer la marcha de columnas militares, las escolares, los desfiles cívicos o las manifestaciones permitidas y los cortejos fúnebres o cruzar las filas de éstas.",61
 SEGUNDO , V,79,Se prohibe aprovisionar de combustible a un vehículo con el motor en marcha. Los vehículos de transporte colectivo de personas no deberán ser aprovisionados de combustible con pasajeros a bordo.,48
 SEGUNDO , V,80,Ningún vehículo debe llevar personas a bordo cuando sea transportado por una embarcación u otro medio. Tampoco deberá levarlas cuando sea remolcado por un vehículo de salvamento.,46
 SEGUNDO , V,81,"Se prohibe a toda persona conducir un vehículo en estado de ebriedad o bajo la acción de drogas o sustancias que disminuyan su aptitud para conducir, aun cuando por 24 prescripción médica esté autorizada para usarlas. Se considera que una persona se encuentra en estado de ebriedad, cuando tenga 0.80% o más de contenido alcohólico en su sangre.",92
 SEGUNDO , V,82,"Los conductores deberán tener cuidado para evitar accidentes, y cuando observen sobre el arroyo de la vía pública a cualquier persona, objeto o animal, deberán disminuir al mínimo su velocidad, y en caso necesario, parar el vehículo.",56
 SEGUNDO , V,83,"Se prohibe el uso innecesario de bocinas y en especial, cerca de hospitales, sanatorios, escuelas y edificios públicos, debiendo utilizarse sólo para evitar accidentes.",47
 SEGUNDO , V,84,"Ningún conductor deberá seguir a un vehículo de bomberos u otros servicio de emergencia, ni detenerse, ni estacionarse a una distancia menor de ciento cincuenta metros de los hechos, salvo que se justifiquen estas operaciones.",58
 SEGUNDO , V,85,"Ningún vehículo deberá pasar sobre una manguera contra incendios carente de protección, sin el consentimiento del personal de bomberos.",34
 SEGUNDO , V,86,"Ningún conductor deberá estacionarse sobre la carretera, sin instalar señales preventivas, ni cerca de una curva, donde no sea visible a una distancia que proporcione seguridad para frenar el conductor de otro vehículo, tampoco se estacionará en los tramos llamados ""columpios"".",69
 SEGUNDO , V,87,"Ninguna persona conducirá un vehículo por una vía pública, a velocidad mayor de la autorizada con excepción de los vehículos de emergencia.",33
 SEGUNDO , V,88,"Los límites máximos de velocidad cuando no haya señales indicadoras, serán los siguientes: de 30 kilómetros por hora en zonas urbanas, y de 80 kilómetros por hora fuera de los perímetros urbanos.",52
 SEGUNDO , V,89,"Cuando se transporte maquinaria y otros objetos cuyo peso excesivo pueda ocasionar lentitud en la marcha del vehículo, entorpeciendo la circulación o daños a la vía pública, previamente deberá solicitarse permiso del Departamento de Tránsito, el que señalará el horario, derrotero y condiciones a que deba sujetarse el acarreo de dichos objetos.",94
 SEGUNDO , V,90,"Los vehículos de uso agrícola solamente circularán por los caminos de acceso de las vías principales. A falta de éstos, para circular por las mismas, deberán recabar previamente autorización del Departamento de Tránsito.",56
 SEGUNDO , V,91,"El transporte de materias líquidas inflamables deberá efectuarse en vehículos adaptados exclusivamente para el objeto, en latas, o tambores herméticamente cerrados. En todo caso, los vehículos deberán estar dotados de un extinguidor de incendio.",65
 SEGUNDO , V,92,"Para transportar materias altamente explosivas es obligatorio recabar previamente el permiso de la Secretaría de la Defensa Nacional, así como del Departamento de Tránsito, en los que se fijaran el horario, derrotero y demás condiciones a que habrá de sujetarse el acarreo.",71
 SEGUNDO , V,93,"los vehículos que transporten materias líquidas inflamables o altamente explosivas deberán llevar una banda roja en su parte delantera y otra en su parte posterior y, en forma ostensible, rótulos en las partes posterior y lateral que contengan la inscripción: ""PELIGRO, INFLAMABLES"" o ""PELIGRO, EXPLOSIVOS"", respectivamente.",89
 SEGUNDO , V,94,"Los usuarios de la vía pública deberán abstenerse de todo acto que pueda constituir un obstáculo para la circulación de peatones y vehículos, poner en peligro a las personas o causar daños a propiedades públicas o privadas. En consecuencia, queda prohibido depositar en las vías públicas, materiales de construcción de cualquier índole, cascajo, tubería, mercancía y 25 objetos de cualquier naturaleza. En caso de justificada necesidad, la maniobra de retiro deberá ser inmediata y de preverse que esto no sea posible, se recabará autorización del Departamento de Tránsito, quien la otorgará exclusivamente en lugares donde dicho depósito no signifique algún obstáculo de importancia a la libre circulación de peatones y vehículos, debiendo establecerse indicadores que permitan distinguir la ubicación del obstáculo.",210
 SEGUNDO , V,95,"Quien remueva un vehículo accidentado o dañado, deberá limpiar la superficie de la vía de cualquier basura, vidrios u otro material dañino que haya caído en la misma.",47
